trip_id,arrival_time,departure_time,stop_id
215,4:40:00,4:40:00,c29
216,5:15:00,5:15:00,c6
216,5:25:00,5:25:00,c29
217,5:45:00,5:45:00,c6
217,5:55:00,5:55:00,c29
218,6:10:00,6:10:00,c6
218,6:20:00,6:20:00,c29
219,6:25:00,6:25:00,c6
219,6:35:00,6:35:00,c29
220,6:50:00,6:50:00,c6
220,7:00:00,7:00:00,c29
221,7:07:00,7:07:00,c6
221,7:17:00,7:17:00,c29
222,7:30:00,7:30:00,c6
222,7:40:00,7:40:00,c29
223,7:50:00,7:50:00,c6
223,8:00:00,8:00:00,c29
224,8:12:00,8:12:00,c6
224,8:22:00,8:22:00,c29
225,8:30:00,8:30:00,c6
225,8:40:00,8:40:00,c29
226,9:00:00,9:00:00,c6
226,9:10:00,9:10:00,c29
227,9:15:00,9:15:00,c6
227,9:25:00,9:25:00,c29
228,9:30:00,9:30:00,c6
228,9:40:00,9:40:00,c29
229,9:45:00,9:45:00,c6
229,9:55:00,9:55:00,c29
230,10:00:00,10:00:00,c6
230,10:10:00,10:10:00,c29
231,10:20:00,10:20:00,c6
231,10:30:00,10:30:00,c29
232,10:40:00,10:40:00,c6
232,10:50:00,10:50:00,c29
233,11:00:00,11:00:00,c6
233,11:10:00,11:10:00,c29
234,11:15:00,11:15:00,c6
234,11:25:00,11:25:00,c29
235,11:30:00,11:30:00,c6
235,11:40:00,11:40:00,c29
236,12:15:00,12:15:00,c6
236,12:25:00,12:25:00,c29
237,12:30:00,12:30:00,c6
237,12:40:00,12:40:00,c29
238,12:45:00,12:45:00,c6
238,12:55:00,12:55:00,c29
239,13:02:00,13:02:00,c6
239,13:12:00,13:12:00,c29
240,13:20:00,13:20:00,c6
240,13:30:00,13:30:00,c29
241,13:42:00,13:42:00,c6
241,13:52:00,13:52:00,c29
242,14:00:00,14:00:00,c6
242,14:10:00,14:10:00,c29
243,14:15:00,14:15:00,c6
243,14:25:00,14:25:00,c29
244,14:30:00,14:30:00,c6
244,14:40:00,14:40:00,c29
245,14:45:00,14:45:00,c6
245,14:55:00,14:55:00,c29
246,15:10:00,15:10:00,c6
246,15:20:00,15:20:00,c29
247,15:25:00,15:25:00,c6
247,15:35:00,15:35:00,c29
248,15:45:00,15:45:00,c6
248,15:55:00,15:55:00,c29
249,16:10:00,16:10:00,c6
249,16:20:00,16:20:00,c29
250,16:30:00,16:30:00,c6
250,16:40:00,16:40:00,c29
251,16:45:00,16:45:00,c6
251,16:55:00,16:55:00,c29
252,17:00:00,17:00:00,c6
252,17:10:00,17:10:00,c29
253,17:20:00,17:20:00,c6
253,17:30:00,17:30:00,c29
254,17:45:00,17:45:00,c6
254,17:55:00,17:55:00,c29
255,18:00:00,18:00:00,c6
255,18:10:00,18:10:00,c29
256,18:15:00,18:15:00,c6
256,18:25:00,18:25:00,c29
257,18:30:00,18:30:00,c6
257,18:40:00,18:40:00,c29
258,19:00:00,19:00:00,c6
258,19:10:00,19:10:00,c29
259,19:30:00,19:30:00,c6
259,19:40:00,19:40:00,c29
260,19:45:00,19:45:00,c6
260,19:55:00,19:55:00,c29
261,20:00:00,20:00:00,c6
261,20:10:00,20:10:00,c29
262,20:25:00,20:25:00,c6
262,20:35:00,20:35:00,c29
263,20:50:00,20:50:00,c6
263,21:00:00,21:00:00,c29
264,21:10:00,21:10:00,c6
264,21:20:00,21:20:00,c29
265,21:30:00,21:30:00,c6
265,21:40:00,21:40:00,c29
266,22:00:00,22:00:00,c6
266,22:10:00,22:10:00,c29
267,22:30:00,22:30:00,c6
267,22:40:00,22:40:00,c29
268,23:05:00,23:05:00,c6
268,23:15:00,23:15:00,c29
269,23:35:00,23:35:00,c6
