route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,cars_allowed
1,7,239,Keistiö-Dalen (Iniö),0,,,1,1
1,7,240,Keistiö-Dalen (Iniö),0,,,1,1
1,7,241,Keistiö-Dalen (Iniö),0,,,1,1
1,7,242,Keistiö-Dalen (Iniö),0,,,1,1
1,7,243,Keistiö-Dalen (Iniö),0,,,1,1
1,7,244,Keistiö-Dalen (Iniö),0,,,1,1
1,7,245,Keistiö-Dalen (Iniö),0,,,1,1
1,7,246,Keistiö-Dalen (Iniö),0,,,1,1
1,7,247,Keistiö-Dalen (Iniö),0,,,1,1
1,7,248,Keistiö-Dalen (Iniö),0,,,1,1
1,7,249,Keistiö-Dalen (Iniö),0,,,1,1
1,7,250,Keistiö-Dalen (Iniö),0,,,1,1
1,7,251,Keistiö-Dalen (Iniö),0,,,1,1
1,8,252,Keistiö-Dalen (Iniö),0,,,1,1
1,8,253,Keistiö-Dalen (Iniö),0,,,1,1
1,8,254,Keistiö-Dalen (Iniö),0,,,1,1
1,8,255,Keistiö-Dalen (Iniö),0,,,1,1
1,8,256,Keistiö-Dalen (Iniö),0,,,1,1
1,8,257,Keistiö-Dalen (Iniö),0,,,1,1
1,8,258,Keistiö-Dalen (Iniö),0,,,1,1
1,8,259,Keistiö-Dalen (Iniö),0,,,1,1
1,8,260,Keistiö-Dalen (Iniö),0,,,1,1
1,8,261,Keistiö-Dalen (Iniö),0,,,1,1
1,8,262,Keistiö-Dalen (Iniö),0,,,1,1
1,8,263,Keistiö-Dalen (Iniö),0,,,1,1
1,8,264,Keistiö-Dalen (Iniö),0,,,1,1
1,9,265,Keistiö-Dalen (Iniö),0,,,1,1
1,9,266,Keistiö-Dalen (Iniö),0,,,1,1
1,9,267,Keistiö-Dalen (Iniö),0,,,1,1
1,9,268,Keistiö-Dalen (Iniö),0,,,1,1
1,9,269,Keistiö-Dalen (Iniö),0,,,1,1
1,9,270,Keistiö-Dalen (Iniö),0,,,1,1
1,9,271,Keistiö-Dalen (Iniö),0,,,1,1
1,9,272,Keistiö-Dalen (Iniö),0,,,1,1
1,9,273,Keistiö-Dalen (Iniö),0,,,1,1
1,9,274,Keistiö-Dalen (Iniö),0,,,1,1
1,9,275,Keistiö-Dalen (Iniö),0,,,1,1
1,9,276,Keistiö-Dalen (Iniö),0,,,1,1
1,9,277,Keistiö-Dalen (Iniö),0,,,1,1
1,9,278,Keistiö-Dalen (Iniö),0,,,1,1
1,9,279,Keistiö-Dalen (Iniö),0,,,1,1
1,9,280,Keistiö-Dalen (Iniö),0,,,1,1
1,10,281,Keistiö-Dalen (Iniö),0,,,1,1
1,11,282,Keistiö-Dalen (Iniö),0,,,1,1
1,11,283,Keistiö-Dalen (Iniö),0,,,1,1
1,11,284,Keistiö-Dalen (Iniö),0,,,1,1
1,11,285,Keistiö-Dalen (Iniö),0,,,1,1
1,11,286,Keistiö-Dalen (Iniö),0,,,1,1
1,11,287,Keistiö-Dalen (Iniö),0,,,1,1
1,11,288,Keistiö-Dalen (Iniö),0,,,1,1
1,11,289,Keistiö-Dalen (Iniö),0,,,1,1
1,11,290,Keistiö-Dalen (Iniö),0,,,1,1
1,11,291,Keistiö-Dalen (Iniö),0,,,1,1
1,11,292,Keistiö-Dalen (Iniö),0,,,1,1
1,11,293,Keistiö-Dalen (Iniö),0,,,1,1
1,11,294,Keistiö-Dalen (Iniö),0,,,1,1
1,11,295,Keistiö-Dalen (Iniö),0,,,1,1
1,12,296,Keistiö-Dalen (Iniö),0,,,1,1
1,12,297,Keistiö-Dalen (Iniö),0,,,1,1
1,12,298,Keistiö-Dalen (Iniö),0,,,1,1
1,12,299,Keistiö-Dalen (Iniö),0,,,1,1
1,12,300,Keistiö-Dalen (Iniö),0,,,1,1
1,12,301,Keistiö-Dalen (Iniö),0,,,1,1
1,12,302,Keistiö-Dalen (Iniö),0,,,1,1
